symbol,MeltingT,MiracleRadius,CovalentRadius,FirstIonizationEnergy,GSestFCClatcnt,Electronegativity,Density,ZungerPP-r_s,DipolePolarizability,GSestBCClatcnt,LogThermalConductivity,NsValence,GSmagmom,Polarizability,NValence,IsAlkali,AtomicVolume,phi,Number,IsNonmetal,NfValence,HHIp,VdWRadius,HHIr,NpUnfilled,BulkModulus,ZungerPP-r_p,NsUnfilled,ZungerPP-r_sigma,ThermalConductivity,AtomicRadius,ShearModulus,IonizationEnergies,IsMetalloid,NfUnfilled,SecondIonizationEnergy,OxidationStates,IsDBlock,AtomicWeight,HeatVaporization,MendeleevNumber,GSvolume_pa,NUnfilled,IsMetal,ElectronAffinity,NdUnfilled,NdValence,MolarVolume,Column,ICSDVolume,IsFBlock,SpaceGroupNumber,HeatCapacityMass,AllenElectronegativity,BoilingT,GSenergy_pa,HeatCapacityMolar,n_ws^third,HeatFusion,ZungerPP-r_d,ZungerPP-r_pi,NpValence,Row,FusionEnthalpy,GSbandgap
Mg,923.0,160.0,141.0,7.646235,4.50714913,1.31,1738.0,0.9,10.76666667,3.577326635,2.204119983,2.0,0.0,10.7666666667,2.0,1.0,23.2222930956267,3.45,12.0,0.0,0.0,5300.0,1.73,500.0,0.0,45.0,1.13,0.0,2.03,160.0,1.5,17.0,,0.0,0.0,15.03527,[2.0],0.0,24.305,128.0,68.0,22.89,0.0,1.0,0.0,0.0,0.0,14.0,2.0,23.48,0.0,194.0,1.023,1.293,1363.0,-1.54227231,24.869,1.17,8.48,,0.23,0.0,3.0,8.48,0.0
Al,933.47,141.0,121.0,5.985768,4.039606536,1.61,2700.0,0.77,6.8,3.206237833,2.371067862,2.0,0.0,6.8,3.0,0.0,16.5944245175099,4.2,13.0,0.0,0.0,1600.0,1.84,1000.0,5.0,76.0,0.905,0.0,1.675,235.0,1.25,26.0,,0.0,0.0,18.82855,[3.0],0.0,26.9815386,293.0,73.0,16.48,5.0,1.0,42.5,0.0,0.0,10.0,13.0,16.61,0.0,225.0,0.897,1.613,2792.0,-3.74542312,24.2,1.39,10.71,,0.135,1.0,3.0,10.71,0.0
Si,1687.0,110.0,111.0,8.15168,4.340238825,1.9,2330.0,0.68,5.53,3.444849839,2.176091259,2.0,0.0,5.53,4.0,0.0,20.0163777166128,4.7,14.0,0.0,0.0,4700.0,2.1,1000.0,4.0,100.0,0.74,0.0,1.42,150.0,1.1,,,1.0,0.0,16.34584,"[-4.0, 2.0, 4.0]",0.0,28.0855,359.0,78.0,20.44,4.0,0.0,133.6,0.0,0.0,12.06,14.0,20.02,0.0,227.0,0.712,1.916,3173.0,-5.424918005,19.99,1.5,50.21,,0.06,2.0,3.0,50.21,0.773
P,317.3,102.0,107.0,10.48669,4.486063093,2.19,1823.0,0.6,3.63,3.560590636,-0.627087997,2.0,0.0,3.63,5.0,0.0,28.2141218166412,5.55,15.0,1.0,0.0,2000.0,1.8,5100.0,3.0,11.0,0.64,0.0,1.24,0.236,1.0,,,0.0,0.0,19.7695,"[-3.0, 3.0, 5.0]",0.0,30.973762,12.4,83.0,22.5702380952,3.0,0.0,72.0,0.0,0.0,17.02,15.0,18.99,0.0,2.0,0.769,2.253,553.5,-5.4005090425,23.824,1.65,18.54,,0.04,3.0,3.0,18.54,1.625
S,388.36,103.0,105.0,10.36001,4.689784664,2.58,1960.0,0.54,2.9,3.722284555,-0.688246139,2.0,0.0,2.9,6.0,0.0,27.1665457946712,,16.0,1.0,0.0,700.0,1.8,1000.0,2.0,7.7,0.56,0.0,1.1,0.205,1.0,,,0.0,0.0,23.33788,"[-2.0, 4.0, 6.0]",0.0,32.065,9.8,88.0,25.786875,2.0,0.0,200.0,0.0,0.0,15.53,16.0,25.76,0.0,70.0,0.708,2.589,717.72,-4.09721671875,22.7,,1.721,,0.02,4.0,3.0,1.721,2.202
Cl,171.6,,102.0,12.96763,4.610279469,3.16,3.214,0.5,2.18,3.65918124,-2.050609993,2.0,0.0,2.18,7.0,0.0,18317.5070375642,,17.0,1.0,0.0,1500.0,1.75,1000.0,1.0,1.1,0.51,0.0,1.01,0.0089,1.0,,,0.0,0.0,23.8136,"[-1.0, 1.0, 5.0, 7.0]",0.0,35.453,10.2,94.0,24.4975,1.0,0.0,349.0,0.0,0.0,17.39,17.0,29.05,0.0,64.0,0.479,2.869,238.96,-1.784433755,33.949,,3.2,,0.01,5.0,3.0,3.2,2.493
Ar,83.8,,106.0,15.75961,4.851074973,,1.784,0.46,1.6411,3.850300758,-1.751536282,2.0,0.0,1.6411,8.0,0.0,37184.285422807,,18.0,1.0,0.0,,1.88,,0.0,,0.46,0.0,0.92,0.01772,0.71,,,0.0,0.0,27.62966,[],0.0,39.948,6.5,100.0,28.54,0.0,0.0,0.0,0.0,0.0,22.56,18.0,36.3,0.0,225.0,0.52,3.242,87.2,0.05854104,20.786,,1.18,,0.0,6.0,3.0,1.18,9.26
K,336.53,230.0,203.0,4.3406633,6.637517176,0.82,856.0,1.54,43.23,5.268200874,2.0,1.0,0.0,43.23,1.0,1.0,75.8478646830779,2.25,19.0,0.0,0.0,1700.0,2.75,7200.0,0.0,3.1,2.15,1.0,3.69,100.0,2.2,1.3,,0.0,0.0,31.63,[1.0],0.0,39.0983,76.9,3.0,73.1066666667,1.0,1.0,48.4,0.0,0.0,45.94,1.0,75.63,0.0,229.0,0.757,0.734,1032.0,-1.09753971333,29.6,0.65,2.335,0.37,0.61,0.0,4.0,2.335,0.0
Ca,1115.0,201.0,176.0,6.11316,5.326014266,1.0,1550.0,1.32,25.73333333,4.227260324,2.301029996,2.0,0.0,25.7333333333,2.0,1.0,42.9371873024716,2.55,20.0,0.0,0.0,3900.0,2.31,1500.0,0.0,17.0,1.68,0.0,3.0,200.0,1.8,7.4,,0.0,0.0,11.87172,[2.0],0.0,40.078,155.0,7.0,37.77,0.0,1.0,2.37,0.0,0.0,26.2,2.0,44.19,0.0,225.0,0.647,1.034,1757.0,-1.948329565,25.929,0.91,8.54,0.34,0.36,0.0,4.0,8.54,0.0
Sc,1814.0,162.0,170.0,6.56149,4.463741557,1.36,2985.0,1.22,17.8,3.542874021,1.204119983,2.0,6.35e-06,17.8,3.0,0.0,25.0093109185916,3.25,21.0,0.0,0.0,5500.0,2.11,4500.0,0.0,57.0,1.53,0.0,2.75,16.0,1.6,29.0,,0.0,0.0,12.79977,[3.0],1.0,44.955912,318.0,11.0,22.235,9.0,1.0,18.1,9.0,1.0,15.0,3.0,24.96,0.0,194.0,0.568,1.19,3103.0,-6.28551309,25.52,1.27,14.1,0.31,0.31,0.0,4.0,14.1,0.0
Ti,1941.0,142.0,160.0,6.82812,4.056692689,1.54,4507.0,1.15,14.6,3.219799121,1.342422681,2.0,2.25333333333e-05,14.6,4.0,0.0,17.6363171588061,3.8,22.0,0.0,0.0,1100.0,,1600.0,0.0,110.0,1.43,0.0,2.58,22.0,1.4,44.0,,0.0,0.0,13.5755,"[2.0, 3.0, 4.0]",1.0,47.867,425.0,43.0,16.69,8.0,1.0,7.6,8.0,2.0,10.64,4.0,17.67,0.0,194.0,0.524,1.38,3560.0,-7.77522712,25.06,1.52,14.15,0.28,0.28,0.0,4.0,14.15,0.0
V,2183.0,134.0,153.0,6.74619,3.733467966,1.63,6110.0,1.09,12.4,2.963255488,1.491361694,2.0,0.0,12.4,5.0,0.0,13.8448982209802,4.25,23.0,0.0,0.0,3300.0,,3400.0,0.0,160.0,1.34,0.0,2.43,31.0,1.35,47.0,,0.0,0.0,14.618,"[2.0, 3.0, 4.0, 5.0]",1.0,50.9415,453.0,46.0,13.01,7.0,1.0,50.6,7.0,3.0,8.32,5.0,13.88,0.0,229.0,0.489,1.53,3680.0,-8.93926069,24.89,1.64,21.5,0.26,0.25,0.0,4.0,21.5,0.0
Cr,2180.0,130.0,139.0,6.76651,3.550558664,1.66,7140.0,1.07,11.6,2.818080279,1.973127854,1.0,0.0,11.6,6.0,0.0,12.0929374738936,4.65,24.0,0.0,0.0,3100.0,,4100.0,0.0,160.0,1.37,1.0,2.44,94.0,1.4,115.0,,0.0,0.0,16.4857,"[2.0, 3.0, 6.0]",1.0,51.9961,339.0,49.0,11.19,6.0,1.0,64.3,5.0,5.0,7.23,6.0,12.01,0.0,229.0,0.449,1.65,2944.0,-9.50571654,23.35,1.73,21.0,0.25,0.3,0.0,4.0,21.0,0.0
Mn,1519.0,132.0,139.0,7.43402,3.474656242,1.55,7470.0,0.99,9.4,2.757836487,0.892094603,2.0,0.000310120689655,9.4,7.0,0.0,12.2127044655985,4.45,25.0,0.0,0.0,1600.0,,1800.0,0.0,120.0,1.23,0.0,2.22,7.8,1.4,78.0,,0.0,0.0,15.64,"[2.0, 3.0, 4.0, 7.0]",1.0,54.938045,220.0,52.0,10.4875862069,5.0,1.0,0.0,5.0,5.0,7.35,7.0,12.2,0.0,217.0,0.479,1.75,2334.0,-9.02056525034,26.32,1.61,12.91,0.23,0.24,0.0,4.0,12.91,0.0
Fe,1811.0,125.0,132.0,7.9024,3.501224062,1.83,7874.0,0.95,8.4,2.778923379,1.903089987,2.0,2.1106628,8.4,8.0,0.0,11.7773649695423,4.93,26.0,0.0,0.0,2400.0,,1400.0,0.0,170.0,1.16,0.0,2.11,80.0,1.4,82.0,,0.0,0.0,16.1877,"[2.0, 3.0]",1.0,55.845,347.0,55.0,10.73,4.0,1.0,15.7,4.0,6.0,7.09,8.0,11.78,0.0,229.0,0.449,1.8,3134.0,-8.28548436,25.1,1.77,13.81,0.22,0.21,0.0,4.0,13.81,0.0
Co,1768.0,125.0,126.0,7.88101,3.447656463,1.88,8900.0,0.92,7.5,2.736406748,2.0,2.0,1.5484712,7.5,9.0,0.0,10.9958606831132,5.1,27.0,0.0,0.0,3100.0,,2700.0,0.0,180.0,1.1,0.0,2.02,100.0,1.35,75.0,,0.0,0.0,17.084,"[2.0, 3.0]",1.0,58.933195,375.0,58.0,10.245,3.0,1.0,63.7,3.0,7.0,6.67,9.0,11.12,0.0,194.0,0.421,1.84,3200.0,-7.080389145,24.81,1.75,16.2,0.21,0.18,0.0,4.0,16.2,0.0
Ni,1728.0,126.0,124.0,7.6398,3.456049039,1.91,8908.0,0.96,6.8,2.74306794,1.959041392,2.0,0.5953947,6.8,10.0,0.0,10.9412844417051,5.2,28.0,0.0,0.0,1000.0,1.63,1500.0,0.0,180.0,1.22,0.0,2.18,91.0,1.35,76.0,,0.0,0.0,18.16884,"[2.0, 3.0]",1.0,58.6934,378.0,61.0,10.32,2.0,1.0,112.0,2.0,8.0,6.59,10.0,10.86,0.0,225.0,0.444,1.88,3186.0,-5.54632457,26.07,1.75,17.48,0.195,0.26,0.0,4.0,17.48,0.0
Cu,1357.77,126.0,132.0,7.72638,3.537821124,1.9,8920.0,0.88,6.15,2.807970487,2.602059991,1.0,0.0,6.15,11.0,0.0,11.8299419318999,4.45,29.0,0.0,0.0,1600.0,1.4,1500.0,0.0,140.0,1.16,1.0,2.04,400.0,1.35,48.0,,0.0,0.0,20.2924,"[1.0, 2.0]",1.0,63.546,300.0,64.0,11.07,1.0,1.0,118.4,0.0,10.0,7.11,11.0,11.81,0.0,225.0,0.385,1.85,3200.0,-3.68065482,24.44,1.47,13.6,0.185,0.28,0.0,4.0,13.6,0.0
Zn,692.68,140.0,122.0,9.394199,3.822215211,1.65,7140.0,0.82,5.816666667,3.033694224,2.079181246,2.0,0.0,5.8166666667,12.0,0.0,15.2056837348025,4.1,30.0,0.0,0.0,1600.0,1.39,1900.0,0.0,70.0,1.06,0.0,1.88,120.0,1.35,43.0,,0.0,0.0,17.96439,[2.0],1.0,65.38,119.0,69.0,13.96,0.0,1.0,0.0,0.0,10.0,9.16,12.0,15.19,0.0,194.0,0.388,1.59,1180.0,-1.239999915,25.39,1.32,7.068,0.175,0.24,0.0,4.0,7.068,0.0
Ga,302.91,134.0,122.0,5.999301,4.225207441,1.81,5904.0,0.76,8.12,3.353549368,1.462397998,2.0,0.0,8.12,13.0,0.0,19.6105134830824,4.1,31.0,0.0,0.0,5500.0,1.87,1900.0,5.0,,0.935,0.0,1.695,29.0,1.3,,,0.0,0.0,20.51515,[3.0],0.0,69.723,256.0,74.0,18.8575,5.0,1.0,28.9,0.0,10.0,11.8,13.0,19.6,0.0,64.0,0.373,1.756,2477.0,-3.0122553025,26.03,1.31,5.585,0.17,0.175,1.0,4.0,5.585,0.0
Ge,1211.4,114.0,120.0,7.89943,4.514684539,2.01,5323.0,0.72,5.84,3.583307493,1.77815125,2.0,0.0,5.84,14.0,0.0,22.6609763823586,4.55,32.0,0.0,0.0,5300.0,2.11,1900.0,4.0,,0.84,0.0,1.56,60.0,1.25,,,1.0,0.0,15.93461,"[2.0, 4.0]",0.0,72.64,334.0,79.0,23.005,4.0,0.0,119.0,0.0,10.0,13.63,14.0,22.23,0.0,225.0,0.32,1.994,3093.0,-4.616039545,23.222,1.37,36.94,0.16,0.12,2.0,4.0,36.94,0.383
As,1090.0,115.0,119.0,9.7886,4.459722881,2.18,5727.0,0.67,4.31,3.539684396,1.698970004,2.0,0.0,4.31,15.0,0.0,21.723965737178,4.8,33.0,0.0,0.0,3300.0,1.85,4000.0,3.0,22.0,0.745,0.0,1.415,50.0,1.15,,,1.0,0.0,18.5892,"[-3.0, 3.0, 5.0]",0.0,74.9216,32.4,84.0,22.175,3.0,1.0,78.0,0.0,10.0,12.95,15.0,21.52,0.0,166.0,0.329,2.211,887.0,-4.650889115,24.64,1.44,24.44,0.155,0.075,3.0,4.0,24.44,0.0
Se,494.0,118.0,120.0,9.75239,4.697841169,2.55,4819.0,0.615,3.77,3.728679007,-0.283996656,2.0,0.0,3.77,16.0,0.0,27.2088046258276,,34.0,1.0,0.0,2200.0,1.9,6000.0,2.0,8.3,0.67,0.0,1.285,0.52,1.15,3.7,,0.0,0.0,21.19,"[-2.0, 4.0, 6.0]",0.0,78.96,26.0,89.0,25.92,2.0,0.0,195.0,0.0,10.0,16.42,16.0,29.81,0.0,14.0,0.321,2.424,958.0,-3.47079191,25.363,,6.69,0.15,0.055,4.0,4.0,6.69,0.799
Br,265.8,,120.0,11.8138,4.903759436,2.96,3120.0,0.58,3.05,3.892116444,-0.920818754,2.0,0.0,3.05,17.0,0.0,42.5278253242385,,35.0,1.0,0.0,3300.0,1.85,6900.0,1.0,1.9,0.62,0.0,1.2,0.12,1.15,,,0.0,0.0,21.591,"[-1.0, 1.0, 5.0]",0.0,79.904,14.8,95.0,29.48,1.0,0.0,324.6,0.0,10.0,19.78,17.0,65.14,0.0,64.0,0.474,2.685,332.0,-1.5830253375,75.69,,5.285,0.143,0.04,5.0,4.0,5.285,1.457
Kr,115.79,,116.0,13.99961,5.244393107,3.0,3.75,0.56,2.4844,4.162477568,-2.025488307,2.0,0.0,2.4844,18.0,0.0,37107.4947415034,,36.0,1.0,0.0,,2.02,,0.0,,0.6,0.0,1.16,0.00943,,,,0.0,0.0,24.35984,[],0.0,83.798,9.02,101.0,36.06,0.0,0.0,0.0,0.0,10.0,27.99,18.0,44.81,0.0,225.0,0.248,2.966,119.78,0.08753524,20.786,,1.164,0.138,0.04,6.0,4.0,1.164,7.535
Rb,312.46,244.0,220.0,4.177128,7.132771862,0.82,1532.0,1.67,47.27,5.661284779,1.763427994,1.0,0.0,47.27,1.0,1.0,92.6409518449757,2.1,37.0,0.0,0.0,6000.0,3.03,6000.0,0.0,2.5,2.43,1.0,4.1,58.0,2.35,,,0.0,0.0,27.2895,[1.0],0.0,85.4678,72.0,4.0,90.7225,1.0,1.0,46.9,0.0,0.0,55.76,1.0,93.09,0.0,229.0,0.363,0.706,961.0,-0.963335025,31.06,0.6,2.19,0.71,0.76,0.0,5.0,2.19,0.0
Sr,1050.0,212.0,195.0,5.69485,6.008506453,0.95,2630.0,1.42,25.55,4.768954732,1.544068044,2.0,0.0,25.55,2.0,1.0,55.3231307765064,2.4,38.0,0.0,0.0,4200.0,2.49,3000.0,0.0,,1.79,0.0,3.21,35.0,2.0,6.1,,0.0,0.0,11.0301,[2.0],0.0,87.62,137.0,8.0,54.23,0.0,1.0,5.03,0.0,0.0,33.94,2.0,56.08,0.0,225.0,0.306,0.963,1655.0,-1.6828136,26.79,0.84,7.43,0.633,0.37,0.0,5.0,7.43,0.0
Y,1799.0,179.0,190.0,6.2173,5.058773104,1.22,4472.0,1.32,22.7,4.015150874,1.230448921,2.0,0.0,22.7,3.0,0.0,33.0132128825196,3.2,39.0,0.0,0.0,9800.0,,2600.0,0.0,41.0,1.62,0.0,2.94,17.0,1.8,26.0,,0.0,0.0,12.224,[3.0],1.0,88.90585,380.0,12.0,32.365,9.0,1.0,29.6,9.0,1.0,19.88,3.0,32.97,0.0,194.0,0.298,1.12,3618.0,-6.464599775,26.53,1.21,11.39,0.58,0.3,0.0,5.0,11.39,0.0
Zr,2128.0,158.0,175.0,6.6339,4.527079516,1.33,6511.0,1.265,17.9,3.593145393,1.361727836,2.0,0.0,17.9,4.0,0.0,23.2659432691915,3.45,40.0,0.0,0.0,3400.0,,2600.0,0.0,,1.56,0.0,2.825,23.0,1.55,33.0,,0.0,0.0,13.1,[4.0],1.0,91.224,580.0,44.0,23.195,8.0,1.0,41.1,8.0,2.0,14.02,4.0,23.29,0.0,194.0,0.278,1.32,4682.0,-8.545958555,25.36,1.41,21.0,0.54,0.295,0.0,5.0,21.0,0.0
Nb,2750.0,143.0,164.0,6.75885,4.173988903,1.6,8570.0,1.23,15.7,3.312897187,1.73239376,1.0,0.0,15.7,5.0,0.0,18.0021329803168,4.05,41.0,0.0,0.0,8500.0,,8800.0,0.0,170.0,1.53,1.0,2.76,54.0,1.45,38.0,,0.0,0.0,14.0,"[3.0, 5.0]",1.0,92.90638,690.0,47.0,18.18,7.0,1.0,86.1,6.0,4.0,10.83,5.0,18.15,0.0,229.0,0.265,1.41,5017.0,-10.09332153,24.6,1.64,30.0,0.51,0.3,0.0,5.0,30.0,0.0
Mo,2896.0,139.0,154.0,7.09243,3.973998007,2.16,10280.0,1.22,12.8,3.154164308,2.1430148,1.0,0.0,12.8,6.0,0.0,15.5008806878023,4.65,42.0,0.0,0.0,2400.0,,5300.0,0.0,230.0,1.5,1.0,2.72,139.0,1.45,20.0,,0.0,0.0,16.16,[6.0],1.0,95.96,600.0,50.0,15.69,6.0,1.0,71.9,5.0,5.0,9.38,6.0,15.59,0.0,229.0,0.251,1.47,4912.0,-10.84610777,24.06,1.77,37.48,0.49,0.28,0.0,5.0,37.48,0.0
Tc,2430.0,136.0,147.0,7.28,3.851649375,1.9,11500.0,1.16,11.4,3.057056135,1.707570176,2.0,0.0,11.4,7.0,0.0,14.1510115085267,5.3,43.0,0.0,0.0,,,,0.0,,1.49,0.0,2.65,51.0,1.35,,,0.0,0.0,15.26,"[4.0, 6.0, 7.0]",1.0,98.0,550.0,53.0,14.285,5.0,1.0,53.0,5.0,5.0,8.63,7.0,14.22,0.0,194.0,,1.51,4538.0,-10.355151195,,1.81,33.29,0.455,0.33,0.0,5.0,33.29,0.0
Ru,2607.0,134.0,146.0,7.3605,3.780696194,2.2,12370.0,1.145,9.6,3.000740558,2.079181246,1.0,0.0,9.6,8.0,0.0,13.5678744093001,5.4,44.0,0.0,0.0,3200.0,,8000.0,0.0,220.0,1.46,1.0,2.605,120.0,1.3,173.0,,0.0,0.0,16.76,[3.0],1.0,101.07,580.0,56.0,13.51,4.0,1.0,101.3,3.0,7.0,8.17,8.0,14.03,0.0,194.0,0.238,1.54,4423.0,-9.19463357,24.06,1.83,38.59,0.45,0.315,0.0,5.0,38.59,0.0
Rh,2237.0,132.0,142.0,7.4589,3.79278409,2.28,12450.0,1.11,8.6,3.010334727,2.176091259,1.0,0.0,8.6,9.0,0.0,13.7255098107475,5.4,45.0,0.0,0.0,3200.0,,8000.0,0.0,380.0,1.41,1.0,2.52,150.0,1.35,150.0,,0.0,0.0,18.08,[3.0],1.0,102.9055,495.0,59.0,13.64,3.0,1.0,109.7,2.0,8.0,8.28,9.0,11.58,0.0,225.0,0.243,1.56,3968.0,-7.25364552,24.98,1.76,26.59,0.42,0.3,0.0,5.0,26.59,0.0
Pd,1828.05,142.0,139.0,8.3369,3.862851303,2.2,12023.0,1.08,4.8,3.065947111,1.857332496,0.0,0.0,4.8,10.0,0.0,14.6983862685637,5.45,46.0,0.0,0.0,3200.0,1.63,8000.0,0.0,180.0,1.37,0.0,2.45,72.0,1.4,44.0,,0.0,0.0,19.43,"[2.0, 3.0]",1.0,106.42,380.0,62.0,14.41,0.0,1.0,53.7,0.0,10.0,8.56,10.0,14.72,0.0,225.0,0.244,1.58,3236.0,-5.13777457,25.98,1.67,16.74,0.4,0.29,0.0,5.0,16.74,0.0
Ag,1234.93,144.0,145.0,7.57623,4.027313074,1.93,10490.0,1.045,6.99,3.196480506,2.633468456,1.0,0.0,6.99,11.0,0.0,17.0756479498908,4.35,47.0,0.0,0.0,1200.0,1.72,1400.0,0.0,100.0,1.33,1.0,2.375,430.0,1.6,30.0,,0.0,0.0,21.47746,[1.0],1.0,107.8682,255.0,65.0,16.33,1.0,1.0,125.6,0.0,10.0,10.27,11.0,17.05,0.0,225.0,0.235,1.87,2435.0,-2.76539356,25.35,1.36,11.3,0.385,0.285,0.0,5.0,11.3,0.0
Cd,594.22,157.0,144.0,8.99382,4.272293466,1.69,8650.0,0.985,7.32,3.390921571,1.986771734,2.0,0.0,7.32,12.0,0.0,21.580025455795,4.05,48.0,0.0,0.0,1700.0,1.58,1300.0,0.0,42.0,1.23,0.0,2.215,97.0,1.55,19.0,,0.0,0.0,16.90831,[2.0],1.0,112.411,100.0,70.0,19.495,0.0,1.0,0.0,0.0,10.0,13.0,12.0,21.59,0.0,194.0,0.231,1.52,1040.0,-0.812174225,26.02,1.24,6.21,0.37,0.245,0.0,5.0,6.21,0.0
In,429.75,155.0,142.0,5.78636,4.595332379,1.78,7310.0,0.94,9.65,3.647317727,1.913813852,2.0,0.0,9.65,13.0,0.0,26.0826581603887,3.9,49.0,0.0,0.0,3300.0,1.93,2000.0,5.0,,1.11,0.0,2.05,82.0,1.55,,,0.0,0.0,18.8703,[3.0],0.0,114.818,230.0,75.0,24.26,5.0,1.0,28.9,0.0,10.0,15.76,13.0,26.14,0.0,139.0,0.233,1.656,2345.0,-2.66680196,26.74,1.17,3.291,0.36,0.17,1.0,5.0,3.291,0.0
Sn,505.08,155.0,139.0,7.34392,5.106259136,1.96,7310.0,0.88,7.06,4.052840562,1.826074803,2.0,0.0,7.06,14.0,0.0,26.9667852620646,4.15,50.0,0.0,0.0,2600.0,2.17,1600.0,4.0,58.0,1.0,0.0,1.88,67.0,1.45,18.0,,0.0,0.0,14.6322,"[2.0, 4.0]",0.0,118.71,290.0,80.0,33.285,4.0,1.0,107.3,0.0,10.0,16.29,14.0,27.05,0.0,141.0,0.227,1.824,2875.0,-3.96104709,26.99,1.24,7.15,0.345,0.12,2.0,5.0,7.15,0.0
Sb,903.78,155.0,139.0,8.60839,5.016478962,2.05,6697.0,0.83,6.6,3.981581991,1.380211242,2.0,0.0,6.6,15.0,0.0,30.1914234437891,4.4,51.0,0.0,0.0,7900.0,2.06,3400.0,3.0,42.0,0.935,0.0,1.765,24.0,1.45,20.0,,1.0,0.0,16.63,"[-3.0, 3.0, 5.0]",0.0,121.76,68.0,85.0,31.56,3.0,1.0,103.2,0.0,10.0,18.19,15.0,30.21,0.0,166.0,0.207,1.984,1860.0,-4.11736234,25.23,1.26,19.79,0.335,0.105,3.0,5.0,19.79,0.0
Te,722.66,140.0,138.0,9.0096,5.180763906,2.1,6240.0,0.79,5.5,4.111975037,0.477121255,2.0,0.0,5.5,16.0,0.0,33.9566887225472,,52.0,0.0,0.0,2900.0,2.06,4900.0,2.0,65.0,0.88,0.0,1.67,3.0,1.4,16.0,,1.0,0.0,18.6,"[-2.0, 4.0, 6.0]",0.0,127.6,48.0,90.0,34.7633333333,2.0,0.0,190.2,0.0,10.0,20.46,16.0,33.94,0.0,152.0,0.202,2.158,1261.0,-3.14130250667,25.73,,17.38,0.325,0.09,4.0,5.0,17.38,0.464
I,386.85,,139.0,10.45126,5.561944354,2.66,4940.0,0.755,5.025,4.414518159,-0.347753659,2.0,0.0,5.025,17.0,0.0,42.6588574686339,,53.0,1.0,0.0,4900.0,1.98,4800.0,1.0,7.7,0.83,0.0,1.585,0.449,1.4,,,0.0,0.0,19.1313,"[-1.0, 1.0, 5.0, 7.0]",0.0,126.90447,20.9,96.0,43.015,1.0,0.0,295.2,0.0,10.0,25.72,17.0,42.51,0.0,64.0,0.214,2.359,457.3,-1.5054024175,54.43,,7.76,0.315,0.075,5.0,5.0,7.76,1.062
Xe,161.3,,140.0,12.12984,5.987008929,2.6,5.9,0.75,4.044,4.751892136,-2.247951552,2.0,0.0,4.044,18.0,0.0,36952.9240243401,,54.0,1.0,0.0,,2.16,,0.0,,0.81,0.0,1.56,0.00565,,,,0.0,0.0,20.975,[],0.0,131.293,12.64,102.0,53.65,0.0,0.0,0.0,0.0,10.0,35.92,18.0,57.83,0.0,225.0,0.158,2.582,165.0,0.04873128,20.786,,2.27,0.305,0.06,6.0,5.0,2.27,6.456
Cs,301.59,264.0,244.0,3.893905,7.736521839,0.79,1879.0,1.71,59.42,6.140481453,1.556302501,1.0,0.0,59.42,1.0,1.0,117.456015807924,1.95,55.0,0.0,0.0,6000.0,3.43,6000.0,0.0,1.6,2.6,1.0,4.31,36.0,2.6,,,0.0,0.0,23.15744,[1.0],0.0,132.9054519,65.0,5.0,115.765,1.0,1.0,45.5,0.0,0.0,70.94,1.0,67.55,0.0,229.0,0.242,0.659,944.0,-0.85462646,32.21,0.55,2.09,,0.89,0.0,6.0,2.09,0.0
Ba,1000.0,223.0,215.0,5.211664,6.3360161,0.89,3510.0,1.515,39.7,5.028899311,1.255272505,2.0,0.0,39.7,2.0,1.0,64.9692816746952,2.32,56.0,0.0,0.0,3000.0,2.68,2300.0,0.0,9.6,1.887,0.0,3.402,18.0,2.15,4.9,,0.0,0.0,10.00383,[2.0],0.0,137.327,140.0,9.0,63.59,0.0,1.0,13.95,0.0,0.0,38.16,2.0,62.88,0.0,229.0,0.204,0.881,2143.0,-1.92352226,28.07,0.81,7.12,0.94,0.372,0.0,6.0,7.12,0.0
La,1193.0,187.0,207.0,5.5769,5.28468344,1.1,6146.0,1.375,31.1,4.194456026,1.113943352,2.0,0.0,31.1,3.0,0.0,37.5306461188031,3.17,57.0,0.0,0.0,9500.0,,3100.0,0.0,28.0,1.705,0.0,3.08,13.0,1.95,14.0,,0.0,0.0,11.059,[3.0],0.0,138.90547,400.0,13.0,36.8975,9.0,1.0,48.0,9.0,1.0,22.39,3.0,37.42,1.0,194.0,0.195,1.09,3737.0,-4.927546185,27.11,1.18,6.2,0.874,0.33,0.0,6.0,6.2,0.0
Ce,1071.0,182.0,204.0,5.5387,5.300984746,1.12,6689.0,,29.6,4.207394381,1.041392685,2.0,0.0,29.6,4.0,0.0,34.7845014783339,3.18,58.0,0.0,1.0,9500.0,,3100.0,0.0,22.0,,0.0,4.5,11.0,1.85,14.0,,0.0,13.0,10.85,"[3.0, 4.0]",0.0,140.116,350.0,15.0,37.24,22.0,1.0,50.0,9.0,1.0,20.69,3.0,34.47,1.0,194.0,0.192,1.16,3633.0,-4.77656965,26.94,1.19,5.46,,,0.0,6.0,5.46,0.0
