symbol,MeltingT,MiracleRadius,CovalentRadius,FirstIonizationEnergy,GSestFCClatcnt,Electronegativity,Density,ZungerPP-r_s,DipolePolarizability,GSestBCClatcnt,LogThermalConductivity,NsValence,GSmagmom,Polarizability,NValence,IsAlkali,AtomicVolume,phi,Number,IsNonmetal,NfValence,HHIp,VdWRadius,HHIr,NpUnfilled,BulkModulus,ZungerPP-r_p,NsUnfilled,ZungerPP-r_sigma,ThermalConductivity,AtomicRadius,ShearModulus,IonizationEnergies,IsMetalloid,NfUnfilled,SecondIonizationEnergy,OxidationStates,IsDBlock,AtomicWeight,HeatVaporization,MendeleevNumber,GSvolume_pa,NUnfilled,IsMetal,ElectronAffinity,NdUnfilled,NdValence,MolarVolume,Column,ICSDVolume,IsFBlock,SpaceGroupNumber,HeatCapacityMass,AllenElectronegativity,BoilingT,GSenergy_pa,HeatCapacityMolar,n_ws^third,HeatFusion,ZungerPP-r_d,ZungerPP-r_pi,NpValence,Row,FusionEnthalpy,GSbandgap
Ra,973.0,,221.0,5.278423,5.370818814,0.9,5000.0,,38.3,4.262821718,1.278753601,2.0,0.0,38.3,2.0,1.0,75.0581202258386,,88.0,0.0,0.0,,2.83,,0.0,,,0.0,3.53,19.0,2.15,,,0.0,0.0,10.14715,[2.0],0.0,226.0,125.0,10.0,38.73125,0.0,1.0,,0.0,0.0,41.09,2.0,68.22,0.0,229.0,,,2010.0,-4.03934834875,,,7.7,,,0.0,7.0,7.7,0.0
Ac,1323.0,,215.0,5.17,5.625752986,1.1,10070.0,,32.1,4.465163104,1.079181246,2.0,0.0,32.1,3.0,0.0,37.4330862969509,,89.0,0.0,0.0,,,,0.0,,,0.0,3.12,12.0,1.95,,,0.0,0.0,11.75,[3.0],0.0,227.0,400.0,14.0,44.5125,9.0,1.0,,9.0,1.0,22.55,3.0,37.45,1.0,225.0,0.12,,3473.0,-4.1050022975,27.2,,12.0,,,0.0,7.0,12.0,0.0
Th,2023.0,178.0,206.0,6.3067,5.059033597,1.3,11724.0,,32.1,4.015357627,1.73239376,2.0,0.0,32.1,4.0,0.0,32.86568321477,3.3,90.0,0.0,0.0,,,,0.0,54.0,,0.0,4.98,54.0,1.8,31.0,,0.0,0.0,11.9,[4.0],0.0,232.03806,530.0,16.0,32.37,8.0,1.0,,8.0,2.0,19.8,3.0,32.86,1.0,225.0,0.118,,5093.0,-7.41254306,27.32,1.28,13.81,,,0.0,7.0,13.81,0.0
Pa,1845.0,165.0,200.0,5.89,4.652702018,1.5,15370.0,,25.4,3.692852039,1.672097858,2.0,0.0,25.4,5.0,0.0,24.9611606283359,,91.0,0.0,2.0,,,,0.0,,,0.0,4.86,47.0,1.8,,5.89,0.0,12.0,,"[4.0, 5.0]",0.0,231.03586,470.0,18.0,25.18,21.0,1.0,,9.0,1.0,15.18,3.0,24.94,1.0,139.0,,,4273.0,-9.49741247,,,12.34,,,0.0,7.0,12.34,0.0
U,1408.0,158.0,196.0,6.1941,4.310663995,1.38,19050.0,,24.9,3.42137628,1.431363764,2.0,0.0,24.9,6.0,0.0,20.7488474020455,3.9,92.0,0.0,3.0,,1.86,,0.0,100.0,,0.0,4.72,27.0,1.75,111.0,,0.0,11.0,10.6,"[3.0, 4.0, 5.0, 6.0]",0.0,238.02891,420.0,20.0,20.025,20.0,1.0,,9.0,1.0,12.49,3.0,21.18,1.0,63.0,0.116,,4200.0,-11.292339955,27.665,1.51,9.14,,,0.0,7.0,9.14,0.0
Np,917.0,175.0,190.0,6.2657,4.194834921,1.36,20450.0,,24.8,3.329442683,0.77815125,2.0,0.0,24.8,7.0,0.0,19.2448390132676,,93.0,0.0,4.0,,,,0.0,,,0.0,4.83,6.0,1.75,,6.2657,0.0,10.0,,"[3.0, 4.0, 5.0, 6.0]",0.0,237.0,335.0,22.0,18.45375,19.0,1.0,,9.0,1.0,11.59,3.0,19.22,1.0,62.0,,,4273.0,-12.9403143562,,,3.2,,,0.0,7.0,3.2,0.0
Pu,913.0,175.0,187.0,6.026,4.166321749,1.28,19816.0,,24.5,3.306811764,0.77815125,2.0,0.3180036375,24.5,8.0,0.0,20.4471640587929,3.8,94.0,0.0,6.0,,,,0.0,,,0.0,4.91,6.0,1.75,43.0,,0.0,8.0,11.2,"[3.0, 4.0, 5.0, 6.0]",0.0,244.0,325.0,24.0,18.08,8.0,1.0,,0.0,0.0,12.29,3.0,20.04,1.0,11.0,,,3503.0,-14.326634305,,1.44,2.824,,,0.0,7.0,2.824,0.0
Am,1449.0,,180.0,5.9738,4.166321749,1.3,13670.0,,23.3,3.306811764,1.0,2.0,0.3180036375,23.3,9.0,0.0,29.5186850847065,,95.0,0.0,7.0,,,,0.0,,,0.0,4.89,10.0,1.75,,5.9738,0.0,7.0,,"[3.0, 4.0, 5.0, 6.0]",0.0,243.0,,26.0,18.08,7.0,1.0,,0.0,0.0,17.63,3.0,29.27,1.0,194.0,,,2284.0,-14.326634305,,,14.39,,,0.0,7.0,14.39,0.0
Cm,1618.0,,169.0,5.9914,4.166321749,1.3,13510.0,,23.0,3.306811764,0.944482672,2.0,0.3180036375,23.0,10.0,0.0,30.3599360941782,,96.0,0.0,7.0,,,,0.0,,,0.0,,8.8,,,5.9914,0.0,7.0,,[3.0],0.0,247.0,,28.0,18.08,16.0,1.0,,9.0,1.0,18.05,3.0,21.04,1.0,194.0,,,3383.0,-14.326634305,,,14.64,,,0.0,7.0,14.64,0.0
Bk,1323.0,,,6.1979,4.166321749,1.3,14780.0,,22.7,3.306811764,1.0,2.0,0.3180036375,22.7,11.0,0.0,27.751200042784,,97.0,0.0,9.0,,,,0.0,,,0.0,,10.0,,,6.1979,0.0,5.0,,"[3.0, 4.0]",0.0,247.0,,30.0,18.08,5.0,1.0,,0.0,0.0,16.84,3.0,31.2,1.0,194.0,,,,-14.326634305,,,,,,0.0,7.0,,0.0
