kpoint total_energy error
6 -184.77495635 1.22318572
10 -184.77204324 0.00291311
14 -184.77266638 0.00062314
18 -184.77257998 0.00008640
22 -184.77268774 0.00010776
26 -184.77268597 0.00000177
