kpoint total_energy error
6 -5319.65254975 0.53713108
10 -5319.65355766 0.00100791
14 -5319.65381726 0.00025960
18 -5319.65416039 0.00034314
22 -5319.65407781 0.00008259
26 -5319.65403577 0.00004204
30 -5319.65398298 0.00005279
34 -5319.65403441 0.00005143
38 -5319.65406951 0.00003510
42 -5319.65403971 0.00002980
46 -5319.65404352 0.00000381
