kpoint total_energy error
6 -4670.55593664 2.26199880
10 -4670.53631533 0.01962131
14 -4670.52788388 0.00843145
18 -4670.53234818 0.00446430
22 -4670.53157484 0.00077335
26 -4670.53090775 0.00066709
30 -4670.53118000 0.00027225
34 -4670.53127592 0.00009592
38 -4670.53118408 0.00009184
42 -4670.53119755 0.00001347
46 -4670.53115469 0.00004286
50 -4670.53119823 0.00004354
54 -4670.53120476 0.00000653
