"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-19","Te","P3121","0","0","0.575","true","105.094","3","false","9","6.048","trigonal",""
"mp-567313","Te","P3221","0","0","0.579","true","104.871","3","true","","6.061","trigonal",""
"mp-570459","Te","C2/m","0.044","0.044","0.000","true","98.665","3","false","","6.443","monoclinic",""
"mp-10654","Te","Pm3m","0.047","0.047","0.000","true","32.69","1","false","","6.482","cubic",""
"mp-105","Te","Pmma","0.047","0.047","0.000","true","131.215","4","false","","6.459","orthorhombic",""
"mp-1178952","Te","Pmc21","0.049","0.049","0.000","true","133.427","4","true","","6.352","orthorhombic",""
"mp-1178932","Te","R3m","0.054","0.054","0.000","true","32.256","1","true","","6.569","trigonal",""
"mp-1064307","Te","P21212","0.123","0.123","0.000","true","135.321","4","true","","6.263","orthorhombic",""
"mp-9924","Te","Cmmm","0.127","0.127","0.000","true","39","1","true","","5.433","orthorhombic",""
