"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-471","CdAs2","I4122","-0.087","0","0.193","true","158.599","6","false","9","5.492","tetragonal",""
"mp-570634","Cd3As2","I41/acd","-0.103","0","0.000","true","2164.547","80","false","","5.979","tetragonal",""
"mp-1372","Cd3As2","P42/nmc","-0.101","0.002","0.002","true","1085.236","40","false","","5.962","tetragonal",""
"mp-7373","CdAs","Pbca","-0.081","0.016","0.278","true","398.726","16","false","","6.241","orthorhombic",""
"mp-1201202","Cd3As2","P42/nbc","-0.082","0.02","0.141","false","4370.124","160","false","","5.922","tetragonal",""
"mp-1199496","Cd3As2","I41/acd","-0.045","0.058","0.000","false","2154.058","80","false","","6.008","tetragonal",""
"mp-10762","Cd3As2","Pn3m","0.058","0.161","0.000","true","272.076","10","false","","5.945","cubic",""
"mp-1183587","Cd3As","I4/mmm","0.1","0.164","0.000","true","89.353","4","true","","7.66","tetragonal",""
"mp-1183659","CdAs3","P63/mmc","0.373","0.438","0.000","true","163.766","8","true","","6.838","hexagonal",""
