kpoint total_energy error
6 -68.63632933 0.61008725
10 -68.55263786 0.08369147
14 -68.56322077 0.01058292
18 -68.56839651 0.00517574
22 -68.57192760 0.00353109
26 -68.57166732 0.00026028
30 -68.57090364 0.00076369
34 -68.57025682 0.00064681
38 -68.57039873 0.00014191
42 -68.57060703 0.00020830
46 -68.57071424 0.00010721
50 -68.57067615 0.00003810
54 -68.57060717 0.00006898
58 -68.57059737 0.00000980
