"Materials Id","Formula","Spacegroup","Formation Energy (eV)","E Above Hull (eV)","Band Gap (eV)","Has Bandstructure","Volume","Nsites","Theoretical","Count","Density (gm/cc)","Crystal System",""
"mp-2490","GaP","F43m","-0.409","0","1.684","true","41.737","2","false","8","4.006","cubic",""
"mp-8882","GaP","P63mc","-0.399","0.01","1.298","true","83.395","4","true","","4.01","hexagonal",""
"mp-1018275","GaP","R3m","-0.275","0.133","0.943","true","84.102","4","false","","3.976","trigonal",""
"mp-971632","GaP","Pa3","-0.238","0.17","0.210","true","306.66","16","true","","4.362","cubic",""
"mp-1184292","Ga3P","I4/mmm","0.143","0.347","0.000","true","73.655","4","true","","5.414","tetragonal",""
"mp-1184212","Ga3P","Pm3m","0.176","0.381","0.000","true","75.975","4","true","","5.249","cubic",""
"mp-971648","GaP","Imm2","0.072","0.481","0.000","true","33.59","2","true","","4.978","orthorhombic",""
"mp-971631","GaP","P4/mmm","0.164","0.573","0.000","true","34.552","2","true","","4.839","tetragonal",""
