kpoint total_energy error
6 -6176.40168747 2.35804029
10 -6176.42675419 0.02506672
14 -6176.42797299 0.00121880
18 -6176.42812292 0.00014993
22 -6176.42827435 0.00015143
26 -6176.42818401 0.00009034
30 -6176.42825639 0.00007238
34 -6176.42823871 0.00001769
38 -6176.42827803 0.00003932
42 -6176.42824333 0.00003469
46 -6176.42827816 0.00003483
50 -6176.42826959 0.00000857
