kpoint total_energy error
6 -2506.40261206 0.06900494
10 -2506.40499428 0.00238222
14 -2506.40432991 0.00066437
18 -2506.40430910 0.00002082
22 -2506.40419086 0.00011823
26 -2506.40418188 0.00000898
