kpoint total_energy error
6 -11844.11411830 1.76209003
10 -11844.21372666 0.09960836
14 -11844.21814552 0.00441886
18 -11844.21311712 0.00502839
22 -11844.21613337 0.00301625
26 -11844.21624398 0.00011061
30 -11844.21580221 0.00044178
34 -11844.21607745 0.00027524
38 -11844.21607323 0.00000422
