kpoint total_energy error
6 -12729.23964630 0.37376060
10 -12729.24029312 0.00064681
14 -12729.24022033 0.00007279
18 -12729.24003652 0.00018381
22 -12729.24005692 0.00002041
26 -12729.24009039 0.00003347
30 -12729.24009475 0.00000435
